samocc,zone,strata,count_site_id,area_hectare,longitude,latitude,depth_finish,holothuria_ananas,holothuria anax,actinopyga_palauensis,bohadschia_argus,holothuria_atra,bohadschia_ocellata,stichopus_chloronotus,holothuria_coluber,holothuria_dofleini,actinopyga_echinites,holothuria_edulis,holothuria_fuscogilva,holothuria_fuscopunctata,pearsonothuria_graeffei,stichopus_herrmanni,stichopus_horrens,actinopyga_lecanora,holothuria_lessoni,holothuria_marmorata,actinopyga_mauritiana,actinopyga_miliaris,holothuria_scabra,stichopus_vastus,bohadschia_vitiensis,holothuria_whitmaei,stichopus_chloronotus
2002,Barrier,Reef edge,25,4263.384,144.0455824,-10.1864096,17.76,16.9047619,2,0,9.5,7.976190476,0,1.5,0,0,1,1,0,2.976190476,5,0,0,0,0,0,0,0.5,0,0,0,6.452380952,7.5
2002,Barrier,Reef top,2,2599.6257,143.949195,-10.411155,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Barrier,Reef top buffer (200 m),14,9341.0578,143.9927236,-10.30032714,0,31.25,4.464285714,0,8.928571429,35.71428571,0,0,0,0,0,4.464285714,0,4.464285714,4.464285714,0,0,0,0,0,0,0,0,0,0,8.928571429,0
2002,Cumberland,Reef edge,48,4679.3081,143.741015,-9.99697625,17.57291667,0.78125,2.083333333,0,3.645833333,1.822916667,0,0.260416667,3.385416667,0,1.302083333,61.97916667,4.6875,2.34375,1.822916667,21.875,0,0,0,0,0,0,0,11.71875,0.260416667,0.260416667,244.7916667
2002,Cumberland,Reef top,54,30938.7525,143.6748,-10.03228556,0.314814815,1.157407407,0,0,0,99.88425926,0,46.2962963,1.967592593,0,1.157407407,10.41666667,0,0,0,4.62962963,0,0,0,0,3.472222222,1.157407407,0,5.787037037,0,2.314814815,266.2037037
2002,Cumberland,Reef top buffer (200 m),49,13368.17,143.7041773,-10.00617837,0,0,0,0,11.47959184,33.80102041,0,58.67346939,38.26530612,0,1.275510204,24.23469388,0,2.551020408,0,10.20408163,0,0,2.551020408,0,1.275510204,0,0,1.275510204,0,1.275510204,808.0357143
2002,Darnley,Reef edge,42,3968.1495,143.7247143,-9.651289048,16.16666667,0.975581926,3.463203463,0,4.009250545,3.251371548,0,0.686028898,3.364600326,0,0.297619048,23.21428571,4.464285714,1.871501419,5.442026805,24.6414088,0,0.297619048,0.595238095,0,1.141031492,0,0,13.1860289,0,0.297619048,288.7634001
2002,Darnley,Reef top,51,16169.2692,143.7377996,-9.643168235,0.607843137,0,0,0,3.676470588,44.73039216,0,21.07843137,0,0,0,1.704014939,0,0,1.225490196,13.48039216,0,0,1.225490196,0,0,1.225490196,0,7.352941176,0,0,37.74509804
2002,Darnley,Reef top buffer (200 m),36,10702.8236,143.7342903,-9.638923056,0,0,0,0,12.15277778,6.944444444,0,20.83333333,0,0,0,10.41666667,0,1.736111111,0,3.472222222,0,0,0,0,3.472222222,0,0,0,0,3.472222222,493.0555556
2002,Don Cay,Reef edge,30,2452.4908,144.0675397,-9.71537,18.88333333,4.583333333,10.13897867,0,10.77380952,9.008205846,0,2.083333333,2.083333333,0,2.023809524,59.42505207,9.404761905,23.67135316,10.69453422,5.773809524,0,0,0,0,0,0,0,0.416666667,0.416666667,4.087481146,22.5
